cik,sic,sic1,sic2,sic3
59478,2834,2,28,283
59479,2851,2,28,285
59498,4812,4,48,481
59527,3540,3,35,354
59532,6020,6,60,602
59558,6311,6,63,631
59560,6726,6,67,672
59591,2452,2,24,245
59593,3390,3,33,339
59684,5810,5,58,581
59696,5945,5,59,594
59870,5130,5,51,513
59880,3730,3,37,373
60041,2891,2,28,289
60086,6331,6,63,633
60128,3663,3,36,366
60195,3241,3,32,324
60302,2650,2,26,265
60357,3812,3,38,381
60512,1311,1,13,131
60519,2400,2,24,240
60653,4924,4,49,492
60667,5211,5,52,521
60714,2810,2,28,281
60731,3312,3,33,331
60751,2990,2,29,299
60849,3533,3,35,353
60860,3312,3,33,331
60876,3949,3,39,394
60911,3460,3,34,346
60977,3714,3,37,371
61004,3679,3,36,367
61138,2890,2,28,289
61265,2400,2,24,240
61398,1311,1,13,131
61425,3330,3,33,333
61442,7819,7,78,781
61478,3661,3,36,366
61494,2851,2,28,285
61666,6552,6,65,655
61927,5072,5,50,507
61952,6311,6,63,631
61986,3530,3,35,353
62119,6020,6,60,602
62126,6020,6,60,602
62142,2911,2,29,291
62234,7830,7,78,783
62262,3089,3,30,308
62362,6792,6,67,679
62391,2834,2,28,283
62418,3714,3,37,371
62465,8700,8,87,870
62675,3845,3,38,384
62709,6411,6,64,641
62737,5411,5,54,541
62765,5065,5,50,506
62973,6020,6,60,602
62996,3430,3,34,343
63271,3600,3,36,360
63276,3942,3,39,394
63296,2790,2,27,279
63330,6552,6,65,655
63416,5311,5,53,531
63436,6510,6,65,651
63506,4210,4,42,421
63528,1311,1,13,131
63541,3630,3,36,363
63686,3443,3,34,344
63754,2090,2,20,209
63814,6500,6,65,650
63908,5812,5,58,581
63917,3721,3,37,372
63959,1311,1,13,131
64040,7323,7,73,732
64079,4813,4,48,481
64247,3444,3,34,344
64279,1311,1,13,131
64382,3851,3,38,385
64463,3829,3,38,382
64472,3567,3,35,356
64493,3452,3,34,345
64507,6324,6,63,632
64513,3841,3,38,384
64578,3845,3,38,384
64674,3241,3,32,324
64782,6020,6,60,602
64803,5912,5,59,591
64807,2844,2,28,284
64892,3842,3,38,384
64907,6020,6,60,602
64908,6020,6,60,602
64923,5311,5,53,531
64970,6020,6,60,602
64996,6331,6,63,633
65011,2721,2,27,272
65100,6211,6,62,621
65172,6795,6,67,679
65195,3585,3,35,358
65201,3564,3,35,356
65202,3790,3,37,379
65231,9995,9,99,999
65270,3678,3,36,367
65291,6531,6,65,653
65312,5080,5,50,508
